관리번호,성명,생년월일,사망년월일,성별,본적(대),본적(중),운동계열,포상년도,훈격(대분류),훈격(소분류),훈장전수여부,외국인여부
155,김옥선,1923-12-07,1996-04-25,여,평안남도,평양,광복군,1995,건국훈장,애족장,전수,N
156,고제락,1875-00-00,미상,남,미상,,국내항일,1990,건국훈장,애족장,미전수,N
158,고제량,1849-11-11,1907-10-11,남,전라남도,담양,의병,1963,건국훈장,독립장,전수,N
160,엄송여,1912-08-22,2002-01-17,남,경기도,개성,중국방면,1990,건국훈장,애족장,전수,N
161,윤경현,1911-09-06,1932-08-00,남,전라남도,강진,국내항일,1990,건국훈장,애족장,전수,N
162,윤양하,1908-02-12,1980-04-17,남,전라남도,강진,학생운동,1990,건국훈장,애족장,전수,N
163,유창옥,1924-04-22,2006-05-17,남,전라북도,완주,광복군,1990,건국훈장,애족장,전수,N
164,박기은,1925-06-15,2017-01-07,여,평안북도,선천,광복군,1990,건국훈장,애족장,전수,N
165,강지성,1900-08-06,미상,여,전라남도,목포,3.1운동,2019,표창,대통령표창,미전수,N
168,서병철,1893-07-06,1977-02-26,남,충청남도,서산,의열투쟁,1990,건국훈장,애국장,전수,N
169,한철,1902-01-17,1980-10-16,남,평안북도,의주,중국방면,1990,건국훈장,애족장,전수,N
170,이순기,1890-09-02,1948-04-21,남,함경남도,함흥,3.1운동,1990,건국훈장,애족장,전수,N
171,곽영,미상,미상,남,미상,,임시정부,1990,건국훈장,애족장,미전수,N
172,송흥국,1901-11-28,미상,남,황해도,연백,3.1운동,1990,건국훈장,애족장,전수,N
173,정화암,1896-09-14,1981-10-21,남,전라북도,김제,중국방면,1983,건국훈장,독립장,전수,N
174,이덕주,1911-01-02,1935-02-00,남,황해도,신천,중국방면,1990,건국훈장,애국장,미전수,N
175,곽재기,1893-02-07,1952-01-10,남,충청북도,청주,의열투쟁,1963,건국훈장,독립장,전수,N
176,조청래,1924-11-07,1990-10-21,남,경상북도,예천,광복군,1990,건국훈장,애족장,전수,N
177,김흥삼,1882-02-18,1938-08-06,남,경기도,화성,3.1운동,1990,건국훈장,애족장,전수,N
178,김응오,1885-11-23,1949-02-17,남,경기도,화성,3.1운동,1990,건국훈장,애족장,전수,N
179,김송혁,1891-04-18,1943-06-05,남,평안남도,중화,국내항일,1990,건국훈장,애족장,전수,N
180,임면수,1874-06-13,1930-11-29,남,경기도,수원,만주방면,1990,건국훈장,애족장,전수,N
181,이원기,1900-09-13,1968-04-30,남,경기도,여주,3.1운동,1990,건국훈장,애족장,전수,N
182,곽종석,1846-06-24,1919-10-17,남,경상남도,거창,3.1운동,1963,건국훈장,독립장,전수,N
183,심상희,1861-04-05,1931-12-25,남,경기도,여주,의병,1990,건국훈장,애족장,전수,N
184,이영우,1901-12-21,1979-07-02,남,경기도,안성,3.1운동,1990,건국훈장,애족장,전수,N
185,오정근,1886-12-08,1954-07-29,남,경기도,안성,3.1운동,1990,건국훈장,애족장,전수,N
186,박옥동,1900-10-05,1949-04-05,남,경기도,안성,3.1운동,1990,건국훈장,애족장,전수,N
187,오복영,1889-01-27,1963-08-03,남,경기도,안성,3.1운동,1990,건국훈장,애족장,전수,N
188,오윤선,1893-02-02,1960-05-10,남,경기도,안성,3.1운동,1990,건국훈장,애국장,전수,N
189,김원순,1880-08-03,1936-02-21,남,경기도,안성,3.1운동,1990,건국훈장,애족장,전수,N
190,김시연,1886-07-02,1944-12-06,남,경기도,안성,3.1운동,1990,건국훈장,애족장,전수,N
191,왕광연,1872-10-26,1951-12-24,남,경기도,수원,3.1운동,1977,건국훈장,독립장,전수,N
192,이백하,1899-04-17,1985-02-16,남,충청남도,천안,3.1운동,1990,건국훈장,애족장,전수,N
193,김종철,1924-01-19,미상,남,경상북도,선산,광복군,1990,건국훈장,애족장,전수,N
194,송규선,1880-12-20,1948-04-27,남,경상북도,성주,3.1운동,1990,건국훈장,애족장,전수,N
195,송우선,1894-02-05,1942-05-02,남,경상북도,성주,3.1운동,1990,건국훈장,애족장,전수,N
196,박규징,1879-03-13,1947-12-09,남,평안북도,정주,임시정부,1990,건국훈장,애족장,전수,N
197,최승균,1892-06-05,1926-00-00,남,함경남도,북청,3.1운동,1999,건국훈장,애족장,전수,N
198,이구연,1896-02-08,1950-08-14,남,강원도,통천,임시정부,1980,건국훈장,독립장,전수,N
199,송윤섭,1891-11-18,1952-12-27,남,함경북도,경성,임시정부,1990,건국훈장,애족장,전수,N
200,장기문,1924-10-17,1994-12-11,남,전라남도,곡성,광복군,1990,건국훈장,애족장,전수,N
201,안상규,1890-09-20,1973-01-10,남,전라남도,순천,3.1운동,1992,표창,대통령표창,전수,N
202,임병국,1882-06-01,1957-11-25,남,전라남도,보성,의병,1990,건국훈장,애국장,전수,N
203,장경선,1874-04-27,1910-03-19,남,전라남도,보성,의병,1990,건국훈장,애족장,전수,N
204,유흥주,1870-12-11,1952-07-05,남,전라남도,순천,3.1운동,1990,건국훈장,애족장,전수,N
205,배윤주,1886-08-20,1958-09-20,남,전라남도,순천,3.1운동,1992,표창,대통령표창,전수,N
206,배형주,1885-11-05,1946-03-28,남,전라남도,순천,3.1운동,1992,표창,대통령표창,전수,N
207,안진영,1887-03-11,1934-10-27,남,전라남도,순천,3.1운동,1992,표창,대통령표창,전수,N
208,임정현,1874-02-03,1909-10-09,남,전라남도,보성,의병,1990,건국훈장,애국장,전수,N
210,박용래,1875-12-24,1959-03-20,남,전라남도,광양,3.1운동,1992,표창,대통령표창,전수,N
211,정성련,1879-00-00,1923-03-14,남,전라남도,광양,3.1운동,1992,표창,대통령표창,전수,N
212,정귀인,1885-01-12,1946-03-29,남,전라남도,광양,3.1운동,1992,표창,대통령표창,전수,N
213,안덕환,1897-04-03,1958-12-10,남,전라남도,순천,3.1운동,1992,표창,대통령표창,전수,N
214,정건수,1924-06-04,2002-01-26,남,전라남도,보성,광복군,1990,건국훈장,애족장,전수,N
215,서경식,1886-04-08,1938-01-21,남,전라남도,광양,3.1운동,1992,표창,대통령표창,전수,N
216,정현철,1870-11-17,1977-02-07,남,전라남도,보성,의병,1990,건국훈장,애족장,전수,N
217,구연영,1864-06-20,1907-07-16,남,경기도,광주,국내항일,1963,건국훈장,독립장,전수,N
219,권덕근,1897-09-22,1959-09-28,남,경기도,경성,만주방면,1990,건국훈장,애족장,전수,N
220,최재화,1892-12-18,1962-09-17,남,경상북도,선산,3.1운동,1990,건국훈장,애족장,전수,N
221,권동진,1861-12-15,1947-03-09,남,서울,,3.1운동,1962,건국훈장,대통령장,전수,N
222,권병덕,1868-04-25,1943-07-13,남,충청북도,청주,3.1운동,1962,건국훈장,대통령장,전수,N
224,이승길,1887-07-13,1965-02-18,남,황해도,황주,계몽운동,1977,건국훈장,독립장,전수,N
225,최우명,1859-03-18,1940-02-23,남,강원도,양구,3.1운동,1990,건국훈장,애족장,전수,N
226,권상익,1863-01-26,1934-12-27,남,경상북도,봉화,국내항일,1990,건국훈장,애족장,전수,N
227,장유학,1899-10-05,1940-04-25,남,경상북도,영덕,3.1운동,1990,건국훈장,애족장,전수,N
228,우용택,1868-09-14,1940-05-24,남,경상북도,의성,계몽운동,1990,건국훈장,애국장,전수,N
229,배선한,1883-09-09,1961-08-15,남,경상북도,안동,의병,1990,건국훈장,애국장,전수,N
230,황인규,1875-12-11,1933-11-17,남,경상북도,안동,3.1운동,1992,표창,대통령표창,전수,N
231,임재호,1898-09-14,1961-07-24,남,경상북도,의성,3.1운동,1990,건국훈장,애족장,전수,N
232,송석준,1865-09-00,1907-05-10,남,평안북도,의주,계몽운동,1990,건국훈장,애국장,전수,N
233,이윤약,1879-02-16,1959-05-10,남,경상북도,칠곡,3.1운동,1992,표창,대통령표창,전수,N
234,박봉술,1892-10-13,1958-11-16,남,경상북도,칠곡,3.1운동,1990,건국훈장,애족장,전수,N
235,서기옥,1878-11-21,1946-03-25,남,경상북도,칠곡,3.1운동,1992,표창,대통령표창,전수,N
236,임삼선,1895-05-07,1966-04-25,남,경상북도,칠곡,3.1운동,1992,표창,대통령표창,전수,N
237,이경희,1880-06-11,1949-12-04,남,경기도,경성,중국방면,1990,건국훈장,애국장,전수,N
238,임용섭,1899-11-16,1967-05-24,남,경상북도,칠곡,3.1운동,1992,표창,대통령표창,전수,N
239,박삼봉,1892-12-24,1975-03-20,남,경상북도,칠곡,3.1운동,1992,표창,대통령표창,전수,N
240,권영만,1877-03-15,1950-04-06,남,경상북도,영덕,3.1운동,1990,건국훈장,애족장,전수,N
241,임용상,1877-05-22,1958-01-05,남,경상북도,청송,의병,1977,건국훈장,독립장,전수,N
242,곽종해,1891-02-27,1946-03-05,남,경상북도,달성,국내항일,1990,건국훈장,애족장,전수,N
243,권영만,1878-01-17,1964-10-01,남,경상북도,청송,국내항일,1963,건국훈장,독립장,전수,N
244,권영익,1914-03-30,2002-01-30,남,평안북도,강계,광복군,1963,표창,대통령표창,전수,N
247,김원술,1893-08-29,1948-05-28,남,경상북도,성주,3.1운동,1992,표창,대통령표창,전수,N
248,장영창,1890-10-10,1939-10-09,남,경상북도,칠곡,3.1운동,1992,표창,대통령표창,전수,N
249,유영중,1921-06-15,1951-08-09,남,충청남도,보령,광복군,1990,건국훈장,애족장,전수,N
250,이재덕,1889-04-03,1961-03-10,남,충청남도,예산,국내항일,1990,건국훈장,애족장,전수,N
251,김대규,1878-11-09,1907-11-21,남,경상북도,안동,의병,1977,건국훈장,독립장,전수,N
252,권용이,1903-01-04,1972-03-18,남,경상북도,청송,3.1운동,1990,건국훈장,애족장,전수,N
253,오만이,1899-05-05,1954-09-29,남,경상북도,영덕,3.1운동,1990,건국훈장,애족장,전수,N
254,권용일,1884-05-11,1971-09-05,남,충청북도,제천,의병,1963,건국훈장,독립장,전수,N
255,권준,1895-05-02,1959-10-27,남,경상북도,상주,중국방면,1968,건국훈장,독립장,전수,N
256,권쾌복,1921-02-02,2009-12-19,남,경상북도,칠곡,학생운동,1963,건국훈장,독립장,전수,N
257,기산도,1878-10-16,1928-12-04,남,전라남도,장성,의열투쟁,1963,건국훈장,독립장,전수,N
258,최효대,1907-04-27,1979-03-20,남,경상북도,울진,국내항일,1990,건국훈장,애족장,전수,N
259,기삼연,1851-01-18,1908-01-02,남,전라남도,장성,의병,1962,건국훈장,독립장,전수,N
260,임시헌,1911-03-13,1975-12-17,남,경상북도,울진,국내항일,1990,건국훈장,애족장,전수,N
261,길창일,1920-01-29,1982-07-18,남,평안북도,선천,광복군,1963,표창,대통령표창,전수,N
263,김각배,1894-10-05,1965-04-17,남,황해도,연백,만주방면,1990,건국훈장,애족장,전수,N
264,백영촌,1882-10-12,1964-10-12,남,경상북도,영일,의병,1990,건국훈장,애국장,전수,N
265,이윤명,1884-04-14,1909-12-30,남,경상북도,울진,의병,1990,건국훈장,애족장,전수,N
266,김경념,1872-10-30,1950-09-19,남,평안북도,용천,임시정부,1990,건국훈장,애족장,전수,N
267,김경태,1879-03-22,1921-08-12,남,충청남도,청양,국내항일,1963,건국훈장,독립장,전수,N
268,남용식,1915-08-14,1966-11-28,남,경상북도,울진,국내항일,1990,건국훈장,애족장,전수,N
269,신재휴,1868-10-17,1934-03-24,남,경상북도,영덕,3.1운동,1990,건국훈장,애족장,전수,N
271,윤봉갑,1924-06-06,1982-05-27,남,경상북도,청도,광복군,1990,건국훈장,애족장,전수,N
272,김경하,1879-08-18,1927-09-05,남,평안남도,강서,임시정부,1990,건국훈장,애족장,전수,N
274,유성우,1890-01-14,1922-11-26,남,경상북도,문경,국내항일,1990,건국훈장,애국장,전수,N
275,이기성,1891-12-02,1976-08-10,남,경상북도,영덕,3.1운동,1990,건국훈장,애족장,전수,N
276,조수인,1881-02-02,1943-06-15,남,경상북도,안동,3.1운동,1990,건국훈장,애족장,전수,N
277,천치락,1876-05-17,1942-04-23,남,경상북도,안동,3.1운동,1990,건국훈장,애족장,전수,N
278,김필환,1924-01-20,2006-06-08,남,경상북도,영양,광복군,1990,건국훈장,애족장,전수,N
279,장석창,1924-11-10,1977-01-11,남,경상북도,영주,광복군,1990,건국훈장,애족장,전수,N
280,신두수,1927-12-15,1986-12-09,남,경상북도,의성,학생운동,2001,표창,대통령표창,전수,N
281,장성표,1924-08-27,1999-01-12,남,경상북도,의성,광복군,1990,건국훈장,애족장,전수,N
283,하상태,1868-11-23,1909-06-09,남,경기도,가평,의병,1990,건국훈장,애국장,전수,N
284,오영근,1889-03-09,1951-07-14,남,경상남도,합천,3.1운동,1990,건국훈장,애족장,전수,N
285,최상제,1923-12-15,2008-02-10,남,경상북도,경주,광복군,1990,건국훈장,애족장,전수,N
286,김귀룡,1898-06-25,1975-11-16,남,경상남도,동래,3.1운동,1990,건국훈장,애족장,전수,N
287,서영석,1925-11-24,1963-06-25,남,경상남도,부산,일본방면,1990,건국훈장,애족장,전수,N
289,김관오,1901-03-04,1965-01-31,남,서울,,광복군,1963,건국훈장,독립장,전수,N
290,이종구,1924-03-25,2004-01-28,남,경상북도,의성,광복군,1990,건국훈장,애족장,전수,N
291,양한위,1883-04-12,1949-04-30,남,충청북도,옥천,국내항일,1990,건국훈장,애국장,전수,N
292,권혁무,1924-06-15,1985-09-07,남,경상북도,예천,광복군,1990,건국훈장,애족장,전수,N
296,이봉래,1906-03-18,1989-10-15,남,함경남도,단천,만주방면,1990,건국훈장,애족장,전수,N
297,김광희,1892-10-05,1968-01-14,남,함경북도,기타,만주방면,1963,표창,대통령표창,전수,N
298,윤호영,1897-09-11,1960-05-21,남,전라남도,무안,3.1운동,1990,건국훈장,애족장,전수,N
299,이성구,1895-02-12,1973-01-07,남,경기도,수원,3.1운동,1990,건국훈장,애족장,전수,N
300,정순정,1890-09-21,1961-03-06,남,전라남도,무안,3.1운동,1990,건국훈장,애족장,전수,N
301,양상기,1883-10-10,1910-08-01,남,전라남도,광산,의병,1990,건국훈장,애국장,전수,N
302,김남철,1909-10-24,1980-12-06,남,전라남도,무안,학생운동,1990,건국훈장,애족장,전수,N
303,정치언,1901-06-05,1930-02-04,남,전라남도,무안,3.1운동,1992,표창,대통령표창,전수,N
304,박용규,1902-03-19,1996-04-23,남,전라남도,무안,3.1운동,1992,표창,대통령표창,전수,N
305,정인술,1879-03-15,1910-04-24,남,전라남도,함평,의병,1990,건국훈장,애국장,전수,N
306,고담룡,1915-11-17,1989-12-05,남,제주도,제주,일본방면,1990,건국훈장,애족장,전수,N
307,박천규,1902-11-17,1967-10-24,남,평안북도,선천,국내항일,1990,건국훈장,애족장,전수,N
308,김교선,1892-06-06,1970-07-25,남,충청남도,천안,3.1운동,1990,건국훈장,애족장,전수,N
312,김성수,1900-07-13,1969-04-05,남,경상남도,밀양,중국방면,1977,건국훈장,독립장,전수,N
313,엄진영,1899-03-30,1947-06-26,남,경상남도,부산,3.1운동,1990,건국훈장,애족장,전수,N
314,정용구,1901-01-06,1966-03-17,남,평안북도,철산,만주방면,1990,건국훈장,애족장,전수,N
315,정용삼,1900-07-04,1922-00-00,남,평안북도,철산,만주방면,1990,건국훈장,애족장,전수,N
316,김교철,1880-07-27,1955-10-06,남,경기도,화성,3.1운동,1990,건국훈장,애족장,전수,N
317,조용선,1894-02-11,1981-05-31,남,경상북도,문경,국내항일,1990,건국훈장,애족장,전수,N
318,김구,1876-08-29,1949-06-26,남,황해도,벽성,임시정부,1962,건국훈장,대한민국장,전수,N
321,배승종,1897-02-24,미상,남,함경남도,북청,만주방면,1990,건국훈장,애족장,전수,N
322,이정운,1884-09-27,1960-12-29,남,경기도,양주,3.1운동,1993,표창,대통령표창,전수,N
323,김근하,1897-04-18,미상,남,평안남도,평양,만주방면,1990,건국훈장,애족장,미전수,N
324,민영숙,1920-12-27,1989-03-17,여,경상북도,상주,광복군,1990,건국훈장,애국장,전수,N
